time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-30 00:00:00+00:00,22,9,29,15
2024-10-31 00:00:00+00:00,22,8,38,16
2024-11-01 00:00:00+00:00,24,11,13,9
2024-11-02 00:00:00+00:00,19,6,32,18
2024-11-03 00:00:00+00:00,27,10,28,11
2024-11-04 00:00:00+00:00,22,9,19,15
2024-11-05 00:00:00+00:00,16,5,42,19
2024-11-06 00:00:00+00:00,30,13,14,7
2024-11-07 00:00:00+00:00,18,5,9,9
2024-11-08 00:00:00+00:00,22,9,29,19
2024-11-09 00:00:00+00:00,21,8,8,7
2024-11-10 00:00:00+00:00,20,7,11,10
2024-11-11 00:00:00+00:00,27,8,12,9
2024-11-12 00:00:00+00:00,31,9,23,14
2024-11-13 00:00:00+00:00,19,6,14,11
2024-11-14 00:00:00+00:00,19,8,27,10
2024-11-15 00:00:00+00:00,22,7,30,14
2024-11-16 00:00:00+00:00,19,7,34,9
2024-11-17 00:00:00+00:00,15,3,22,8
2024-11-18 00:00:00+00:00,22,7,26,16
2024-11-19 00:00:00+00:00,24,10,23,14
2024-11-20 00:00:00+00:00,21,8,24,9
2024-11-21 00:00:00+00:00,29,9,17,12
2024-11-22 00:00:00+00:00,30,16,31,9
2024-11-23 00:00:00+00:00,23,8,14,12
2024-11-24 00:00:00+00:00,22,7,14,11
2024-11-25 00:00:00+00:00,24,9,25,16
2024-11-26 00:00:00+00:00,22,9,27,13
2024-11-27 00:00:00+00:00,18,7,22,11
2024-11-28 00:00:00+00:00,23,7,38,14
2024-11-29 00:00:00+00:00,15,4,18,15
2024-11-30 00:00:00+00:00,23,9,15,10
2024-12-01 00:00:00+00:00,18,6,13,12
2024-12-02 00:00:00+00:00,27,13,26,16
2024-12-03 00:00:00+00:00,19,6,24,13
2024-12-04 00:00:00+00:00,21,7,35,10
2024-12-05 00:00:00+00:00,17,5,19,10
2024-12-06 00:00:00+00:00,26,11,24,13
2024-12-07 00:00:00+00:00,23,10,15,9
2024-12-08 00:00:00+00:00,27,11,27,11
2024-12-09 00:00:00+00:00,37,14,44,15
2024-12-10 00:00:00+00:00,27,14,79,23
2024-12-11 00:00:00+00:00,23,8,18,13
2024-12-12 00:00:00+00:00,26,12,57,17
2024-12-13 00:00:00+00:00,27,10,24,11
2024-12-14 00:00:00+00:00,22,8,16,12
2024-12-15 00:00:00+00:00,37,13,9,7
2024-12-16 00:00:00+00:00,22,9,21,12
2024-12-17 00:00:00+00:00,21,8,25,16
2024-12-18 00:00:00+00:00,19,8,59,26
2024-12-19 00:00:00+00:00,32,17,27,16
2024-12-20 00:00:00+00:00,32,13,40,22
2024-12-21 00:00:00+00:00,33,15,6,5
2024-12-22 00:00:00+00:00,22,10,12,9
2024-12-23 00:00:00+00:00,37,17,22,9
2024-12-24 00:00:00+00:00,43,10,16,12
2024-12-25 00:00:00+00:00,35,11,14,7
2024-12-26 00:00:00+00:00,29,13,23,15
2024-12-27 00:00:00+00:00,38,17,28,15
2024-12-28 00:00:00+00:00,30,17,23,15
2024-12-29 00:00:00+00:00,18,6,52,19
2024-12-30 00:00:00+00:00,26,11,17,13
2024-12-31 00:00:00+00:00,26,8,26,14
2025-01-01 00:00:00+00:00,17,5,9,8
2025-01-02 00:00:00+00:00,43,17,24,13
2025-01-03 00:00:00+00:00,34,14,28,15
2025-01-04 00:00:00+00:00,68,13,34,15
2025-01-05 00:00:00+00:00,32,18,16,11
2025-01-06 00:00:00+00:00,32,17,50,17
2025-01-07 00:00:00+00:00,27,15,21,15
2025-01-08 00:00:00+00:00,28,15,20,13
2025-01-09 00:00:00+00:00,24,10,32,16
2025-01-10 00:00:00+00:00,19,7,21,11
2025-01-11 00:00:00+00:00,22,8,14,11
2025-01-12 00:00:00+00:00,132,18,39,16
2025-01-13 00:00:00+00:00,67,37,22,14
2025-01-14 00:00:00+00:00,28,14,39,17
2025-01-15 00:00:00+00:00,32,18,26,15
2025-01-16 00:00:00+00:00,36,22,19,14
2025-01-17 00:00:00+00:00,24,10,32,14
2025-01-18 00:00:00+00:00,23,12,8,7
2025-01-19 00:00:00+00:00,17,6,20,16
2025-01-20 00:00:00+00:00,33,18,21,10
2025-01-21 00:00:00+00:00,33,20,19,15
2025-01-22 00:00:00+00:00,24,11,23,15
2025-01-23 00:00:00+00:00,23,9,35,25
2025-01-24 00:00:00+00:00,24,9,14,9
2025-01-25 00:00:00+00:00,18,6,17,12
2025-01-26 00:00:00+00:00,26,11,16,12
2025-01-27 00:00:00+00:00,20,8,17,14
2025-01-28 00:00:00+00:00,26,12,7,4
2025-01-29 00:00:00+00:00,22,10,17,13
2025-01-30 00:00:00+00:00,97,33,11,9
2025-01-31 00:00:00+00:00,57,27,23,5
2025-02-01 00:00:00+00:00,61,25,11,5
2025-02-02 00:00:00+00:00,63,27,10,7
2025-02-03 00:00:00+00:00,66,30,15,8
2025-02-04 00:00:00+00:00,68,29,16,11
2025-02-05 00:00:00+00:00,64,28,34,16
2025-02-06 00:00:00+00:00,62,30,36,18
2025-02-07 00:00:00+00:00,79,23,13,12
2025-02-08 00:00:00+00:00,91,34,16,13
2025-02-09 00:00:00+00:00,59,23,12,9
2025-02-10 00:00:00+00:00,73,33,5,5
2025-02-11 00:00:00+00:00,68,29,16,11
2025-02-12 00:00:00+00:00,52,23,47,8
2025-02-13 00:00:00+00:00,62,25,15,7
2025-02-14 00:00:00+00:00,77,32,20,13
2025-02-15 00:00:00+00:00,52,20,19,9
2025-02-16 00:00:00+00:00,51,15,10,7
2025-02-17 00:00:00+00:00,77,18,18,9
2025-02-18 00:00:00+00:00,67,24,7,7
2025-02-19 00:00:00+00:00,63,29,26,14
2025-02-20 00:00:00+00:00,76,26,23,14
2025-02-21 00:00:00+00:00,70,32,29,15
2025-02-22 00:00:00+00:00,51,18,23,12
2025-02-23 00:00:00+00:00,41,15,7,5
2025-02-24 00:00:00+00:00,79,22,18,10
2025-02-25 00:00:00+00:00,90,31,16,13
2025-02-26 00:00:00+00:00,64,26,8,8
2025-02-27 00:00:00+00:00,74,30,13,9
2025-02-28 00:00:00+00:00,59,24,19,11
2025-03-01 00:00:00+00:00,48,20,3,3
2025-03-02 00:00:00+00:00,49,22,7,5
2025-03-03 00:00:00+00:00,128,39,28,12
2025-03-04 00:00:00+00:00,89,39,14,12
2025-03-05 00:00:00+00:00,54,25,14,13
2025-03-06 00:00:00+00:00,85,28,20,11
2025-03-07 00:00:00+00:00,82,36,23,9
2025-03-08 00:00:00+00:00,67,16,5,5
2025-03-09 00:00:00+00:00,68,27,8,7
2025-03-10 00:00:00+00:00,79,31,13,10
2025-03-11 00:00:00+00:00,109,38,18,14
